school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2.0,2.0,0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0,mat
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1.0,2.0,0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,mat
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1.0,2.0,3,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0,mat
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1.0,3.0,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0,mat
GP,F,16,U,GT3,T,3,3,other,other,home,father,1.0,2.0,0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0,mat
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1.0,2.0,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0,mat
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1.0,2.0,0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0,mat
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2.0,2.0,0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0,mat
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1.0,2.0,0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0,mat
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1.0,2.0,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0,mat
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1.0,2.0,0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0,mat
